Brand,Lineup / Model,,,Eff.,Form Factor,Tier,Models,Part number,Rated
Aerocool,Aero,Bronze,,B,ATX,C*,,,40,2,,,No,,230V,SANR,,,DF,SR,DC-DC,DWPH,Rifle,,,,Grenergy GR8329N,Y,Y,Y,
,,,M,B,ATX,C*,,,,,,,Full,,230V,,,,DF,,DC-DC,,,,,,,,,,
,,White,,W,ATX,E,,,,,2020?,,No,,230V,SANR,,,DF,PR,GR,,,,,,,,,,
,Cyclon,,,W,ATX,F,,,,,,,No,,,,,,DF,PR,GR,,,,,,,,,,
,GT SG,,,G,ATX,X,,,?,3,2012,,Semi,,Full,HEC,,,LLC,SR,DC-DC,Young Lin Tech,LLS,CM6901,CM6502,,Weltrend WT7527,Y,Y,Y,
,KCAS,Bronze,,B,ATX,E,X00W,,,,,,No,,,Andyson,Z8?,,DF,,GR,,,,,,,,,,
,,,M,B,ATX,E,650/750W,,,,,,Semi,,,HEC,STX,,DF,,GR,,,,,,,,,,Doublesourced
,,,,,ATX,E,,,,,,,,,,Andyson,Z8,,,,,,,,,,,,,,
,,,,,ATX,,850/1000W,,,,,,,,,HEC,EVGA BQ 850W,,DF,,DC-DC,,,,,,,,,,
,,,,,ATX,,1000W?,,,,,,,,,YueLin ?,,,DF,,DMA,,,,,,,,,,
,,,,,ATX,,1200W,,,,,,,,,Andyson,unknown,,,,,,,,,,,,,,
,,G,,G,ATX,C*,,,,,,,No,,Full,Andyson,Q8,,DF,SSR,DC-DC,,,,,,,,,,
,,,M,G,ATX,C*,,,,,,,Semi,,Full,Andyson,Q8?,,DF,SSR,DC-DC,,,,,,,,,,
,,Plus (M),,B,ATX,,,,,,,,Semi,,,Andyson,downgraded A8?,,DF,,DC-DC,,,,,,,,,,
,,Plus Gold,,G,ATX,C*,,,,,,,No,,,,,,,,DC-DC,,,,,,,,,,
,Lux RGB,,,B,ATX,F,,,,,,,,,,SANR,,,,,,,,,,,,,,,
,Lux ,,,B,ATX,F,,,,,,,,,,SANR,,,,,,,,,,,,,,,
,Project 7,,,P,ATX,A-,650-850W,ACP-[W]FP7,,,,,Full,,Full,Andyson,H8 (modified to add OTP),,LLC,SR,DC-DC,Vijin,FDB,CM6901,CM6502S,,,,,,
,Strike-X,,,,ATX,E,<=600W,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ATX,,>=800W,,,,,,,,,,,,,,,,,,,,,,,,
,Integrator Gold,,,G,ATX,,750-1000W,,,,,,Full,,Full,SANR,,,LLC,SR,DC-DC,,,,,,,,,,
,United Power,,,W,ATX,,,,,,,,No,,230V,,,,,,,,,,,,,,,,
Akasa,Venom Power,,,N,ATX,,550/750W,AK-PA[W]AM01,?,2,,,Semi,,230V,Andyson,,,DF,PR,GR,Young Lin Tech,Sleeve,,,,HY510N,?,Y,?,
,,,,G,ATX,,850/1000W,AK-PA[W]AM03,?,3,,,Semi,,Full,Andyson,K8,,DF,SR,DC-DC,Young Lin Tech,Sleeve,,,,SITI PS232S,?,Y,?,
American Pirate Ship,see Corsair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andyson,M5+,,,B,ATX,,450W,,,,,,No,,,Andyson,M5?,FB,DF,,GR,,,,,,,,,,
,,,,,ATX,,550/650W,,,,,,,,,,Q8,FB,DF,SSR,DC-DC,,,,,,,,,,
,BX,,,B,ATX,C,450-750W,,,,,,No,,,,Q8,,DF,SSR,DC-DC,,,,,,,,,,renewed/rebranded M5+
,E5+,,,N,ATX,F,300-500W,,,,,,No,,,,E5+?,,DF,PR?,GR,,,,,,,,,,!
,GX,,,G,ATX,C+,500/600/800W,AD-Q[W],,,,,Semi,,Full,,F8,FB,LLC,SR,DC-DC,,,,,,,,,,renewed/rebranded H6
,H6,,,G,ATX,C+,500-800W,,,,,,Semi,,Full,,F8,FB,LLC,SR,DC-DC,,,,,,,,,,
,N,,,T,ATX,X,500/700W,AD-[W]yyzzz,40,5,2015,,Semi,,Full,,N8,FB,LLC,SR,DC-DC,ADDA,DBB,CM6901,CM6502S,,SITI PS223,N,Y,Y,
,TX,,,T,ATX,B,700W,AD-N700,,,,,Semi,,Full,,N8,FB,LLC,SR,DC-DC,,,,,,,,,,renewed/rebranded N
,R,,,P,ATX,,850W,,,,,,Full,,Full,,H8,,LLC,SR,DC-DC,,,,,,,,,,
,,,,,ATX,,1200W,AD-1200yyzzz,,10,,,,,Full,,R8,FB,,,,ADDA,DBB?,CM6901,CM6502,,,,,,
,S,,,P,ATX,,,,,,,,,,,,S8,,LLC,SR,DC-DC,,,,,,,,,,
,PX,,,P,ATX,B,1200W,AD-R1200,,,,,Full,,Full,,mod. R8?,,LLC,SR,DC-DC,,,,,,,,,,renewed/rebranded R
Antec,Atom,old,,,ATX,X,,,,,,,,,,,,,,,,,,,,,,,,,
,,V (teal label),,N,ATX,F,,,,,,,No,,230V,,,,,,GR,,,,,,,,,,
,,B (yellow label),,B,ATX,E,,,,,,,,,,Andyson,,,DF,,GR,,,,,,,,,,
,,G (purple label),,G,ATX,C*,,,,,,,Full,,Full,,,,,,DC-DC,,,,,,,,,,
,Cuprum Strike (CSK),,,B,ATX,E,,,,,,,,,,,,,,,GR,,,,,,,,,,
,Edge,,,,ATX,,<=750W,EDG[W],50,5,,,,,,Seasonic,RT,FB,LLC,SSR,DC-DC,Hong Hua,FDB,ICE2HS01G,ICE3PCS01,,SITI PS223,Y,Y,Y,
,Edge II,,,,ATX,,>=850W,EDG[W],,,,,,,,,KM3S,,,SR,,,,,,,,,,,
,Earthwatts,,,W,ATX,,750W,EA750,,,,,,,,Seasonic,,,DF,,GR,,,,,,,,,,
,"Earthwatts
(EA)",D Green,,B,ATX,X,380/430/500W,EA-[W]D,,,2010,,No,,,,,,DF,,GR,,,,,,,,,,
,,Green,,B,ATX,X,350/450/750W,EA-[W] Green,,,2011,,No,,,Delta,GPS-xxxMB E?,,DF,,DMA,,,,,,,,,,
,,,,N,ATX,,,,,,,,Full,,,FSP,,,,,DC-DC,,,,,,,,,,
,,Platinum,,P,ATX,,450-750W,EA-[W] Platinum,50,3,,,No,,Full,FSP,Aurum 92+ ,FB,ACRF,SR,GR,Yate Loon,Ball,6600 (FSP Custom),,,WT7579,?,Y,Y,
,,Gold,[China],G,ATX,E,,,,,,,Semi,,Full,FSP,Aurum 92+?,FB,ACRF,,GR,,,,,,,,,,"China only ? Ketchup and mustard cables, fan grill with concentric rings, changes to the label and box"
,,,Pro White,,,A,750W,,,,,,,,Full,Seasonic,Focus,FB,LLC,SR,DC-DC,,,,,,,,,,
,,,Pro,,ATX,,550/650/750W,EA[W]G Pro,,7,,,,,,,,,,,,Hong Hua,FDB,CM6901T6,CM6500UN,,,,,,
,VP,,,,ATX,E,450-700W,VP-[W],,,,,,,,FSP,APN,,,,,,,,,,,,,,
,VP Plus,,,,ATX,E,500/550/650W,VP[W] Plus,,3,,,,,,,,,DF,,GR,,,,,,,,,,
,VP-P,,v1,,ATX,E,450/500W,VP[W]P,,,,,,,,FSP,APN,,,,,,,,,,,,,,
,,,,,ATX,,600/700W,VP[W]P,?,2,,,,,,,Hyper,,DF,PR?,GR,Yate Loon,Sleeve?,,,,,,,,
,,,v2,,ATX,,500W,VP500P V2,,,,,,,,,Hyper,,DF,,GR,,,,,,,,,,
,VP-PC,,,,ATX,,400/500W,VP[W]PC,,,,,,,,CWT,GPA,,DF,,GR,,,,,,,,,,
,VP-F,,,W,ATX,,550W,See Earthwatts Green,?,2,,,No,,Full,Delta,,,DF,PR,GR,Yate Loon,Sleeve,FAN4800A,,,DWA106 & LM393N,Y,Y,Y,
,,,,B,ATX,,<=550W,,,,,,,,,,,,,,DC-DC,,,,,,,,,,
,,,,,ATX,X,650W,,,,2015,,,,,,"""GPS-AB""",,,PR,DC-DC,,,CM6800UX,,,,,,,
,Basiq,,VP-P,N,ATX,E,350W,VP[W]P,?,2,,,No,,230V,Delta,,,DF,PR,GR,,,FAN4800A,,,DWA106 & AS393D,,,,
,,,,,ATX,E,550W,,?,2,,,No,,230V,Delta,,,DF,PR,DMA,Yate Loon,Sleeve,,,,DWA107,,,,
,BP-P (red casing),,,,ATX,,,,,,,,,,,Delta,,,DF,,GR,,,,,,,,,,
,BP-PS,,,,ATX,,,,,,,,,,,,,,,,,,,,,,,,,,
,BP-PS Pro,,,,ATX,,,,,,,,,,,,,,,,,,,,,,,,,,
Antec,BP-PX,,,,ATX,,,,,,,,,,,CWT,GPA,,DF,,GR,,,,,,,,,,
,BP-U,,,,ATX,X,,,,,2008,,,,,FSP,GLN60,,,,,,,,,,,,,,
,"Neo Eco
(NE)",Classic,,B,ATX,E,X50/X00W,NE[W]C,,,,,No,,,CWT,GPK,,DF,,GR,,,,,,,,,,
,,,,,ATX,,,,,,,,,,,Andyson,X8 (GPK clone),,,,,,,,,,,,,,v2?
,,Modular,v1,B,ATX,E,X50/X00W,NE[W]M,,,,,Semi,,,CWT,GPK,,DF,,GR,,,,,,,,,,
,,,,,ATX,,,,,,,,,,,Andyson,X8 (GPK clone),,,,,,,,,,,,,,v2?
,,,v2,B,ATX,,,,,,,,,,,Andyson,M5+,,DF,,GR,,,,,,,,,,
,,II,,,ATX,,550W,,,,,,,,,Delta,,,DF,,DC-DC,,,,,,,,,,
,,,,,ATX,,650W,,,,,,,,,,"""GPS-AB""",,,PR,,,,,,,,,,,
,,Gold,yellow-l.,G,ATX,B+,,NE[W]G,,,,,Semi,,Full,Seasonic,Focus,,LLC,SR,DC-DC,,,,,,,,,,Yellow label
,,,green-l.,,ATX,B*,850W,,,,,,Full,,,Helly,ATX-0100GB,,LLC,SR,DC-DC,,,,,,,,,,"Phillipine market, green label, no info"
,,,M White,,,B*,650/750/850W,NE[W]G M White,,,,,Full,,Full,Helly,ATX-0500GQ,,LLC,SR,DC-DC,,,,,,,,,,
,,,M,,ATX,B*,,NE[W]G M,,,,,,,,,,,,SR,,,,,,,,,,,Chinese/Japanese market ?
,,Zen Gold,,G,ATX,C*,,NE[W]G Zen,,5,,,No,,Full,Andyson,(PAD)07,,LLC,SR,DC-DC,,,,,,,,,,
,,Platinum,,P,ATX,B*,,,45,7,,,Full,,Full,Jiuzhou,,,LLC,SR,DC-DC,,,,,,,,,,
,"High Current Pro
(HCP)",,Gold,G,ATX,X,750/850W,HCP-[W],50,5,2011,,Semi,,Full,Delta,,FB,LLC,SR,DC-DC,ADDA,DBB,CM6901,FAN6982,,Weltrend DWA103N,Y,A,?,
,,,,,ATX,,1200W,,50,5,,,,,,,,FB,PSR,,,Sanyo Denki,DBB,UCC3895,,,DWA103N & LM393A,Y,A,A,
,,,Platinum,P,ATX,,750-1300W,HCP-[W] Platinum,50,7,2012,,Full,,,,GM,FB,LLC,,,Delta,DBB,CM6901,CM6502S,,DWA103N & AS339,Y,Y,Y,Bane of Luke
,"High Current Gamer
(HCG)",,Bronze,B,ATX,X,520/620W,HCG-[W],50,3,2012,,No,,Full,Seasonic,GB Bronze,FB,DF,PR,GR,ADDA,DBB,ICE1CS02,,,PS223,?,M,A,
